keyword,max_score,mean_score,document_frequency,gram_length
growth,0.35091283393591555,0.04476994334679832,4,1
vcs,0.28115550374739706,0.051596807558107194,4,1
people,0.22804373793733906,0.12531507745668277,9,1
startup,0.20127021288687927,0.1469636816566049,9,1
1982,0.18728133873352093,0.02080903763705788,1,1
fortunes,0.18728133873352093,0.02080903763705788,1,1
startups,0.18185122561061295,0.10994259543729382,9,1
firms,0.17524586633471181,0.022797315268766504,3,1
companies,0.1691739312011775,0.06505437657004587,9,1
angel,0.16298869782457803,0.023735710250529403,4,1
work,0.15183542375676856,0.0668997121201042,9,1
vc,0.15076454548773469,0.02214692498674272,4,1
start,0.14950181842733104,0.10188149726600383,9,1
angels,0.1475754663871257,0.02001695658073235,3,1
growth rate,0.14464822944030395,0.017327428670364756,2,2
good,0.14375174848781833,0.0546546211723149,9,1
company,0.14219197777269377,0.08794361141177463,9,1
get,0.13800167854830558,0.10094589045606223,9,1
founders,0.1275494694714875,0.06732905152213231,9,1
one,0.1275494694714875,0.09323287759727313,9,1
google,0.12711800546816723,0.035858239681236456,8,1
business,0.12341190523667761,0.030317219354245424,9,1
stock,0.12224152336843351,0.023282287016926428,4,1
2020,0.12039514632869201,0.013377238480965779,1,1
investors,0.11970691755867645,0.04076183629846428,8,1
week,0.11914811997821147,0.015132995426316773,3,1
money,0.11536330272124211,0.051657203573659397,9,1
big,0.11280838662838812,0.043367341291222154,9,1
rich,0.10766562099210632,0.026821404492524913,8,1
new fortunes,0.10701790784772623,0.011890878649747359,1,2
want,0.10701626351797794,0.0691828941528489,8,1
starting,0.1025296552734409,0.041945601350997785,9,1
richest,0.10168765733680966,0.0127067394562742,2,1
starting companies,0.10168765733680966,0.0127067394562742,2,2
cofounders,0.09916925159444791,0.015942519850295843,3,1
deal,0.09794896377998795,0.020835696270679126,6,1
new,0.09740317250976886,0.03247832198928918,9,1
university,0.0973571470610848,0.013468654731129123,4,1
projects,0.09556088303368636,0.019602443985165644,5,1
economy,0.09364066936676047,0.01040451881852894,1,1
rate,0.09163649693869477,0.017570480853159483,8,1
college,0.09163625762960244,0.03195639038747847,6,1
20th,0.09038902874383081,0.011451336279276551,2,1
start google,0.09002670299587308,0.010002966999541453,1,2
successful,0.08981040147295867,0.019475652934102985,9,1
like,0.08964417625144346,0.06469358976936991,9,1
think,0.08964417625144346,0.051497899458455426,9,1
would,0.08964417625144346,0.05236663436773278,9,1
tech,0.08841448266423611,0.011560557969061136,3,1
get good,0.08762143235497631,0.014118405991184656,4,2
deals,0.08726264457748587,0.017223772018499825,5,1
seed,0.08726264457748587,0.018062433562455016,5,1
probably,0.08719843694057461,0.04133183177171614,8,1
need,0.08625104909269099,0.045849191380676536,9,1
technology,0.08625104909269099,0.036787601804369414,9,1
job,0.08333224903206889,0.026369179661171242,7,1
lot,0.08247264215132798,0.04199348187069219,9,1
way,0.08247264215132798,0.04925512097329521,9,1
big companies,0.08176643000810255,0.019748454839776927,7,2
something,0.08048602515435496,0.05148191755286824,9,1
mid 20th,0.08026343088579468,0.00891815898731052,1,2
mid 20th century,0.08026343088579468,0.00891815898731052,1,3
oil,0.08026343088579468,0.00891815898731052,1,1
grow,0.08018193482135792,0.01828835952911708,8,1
invest,0.07999075752936204,0.018236827801698465,5,1
20th century,0.07909040015085196,0.010195933102278901,2,2
school,0.07806180572042153,0.024646650356611684,8,1
co,0.07782352202167954,0.009961050673286552,2,1
someone,0.07768324006160252,0.02847150273958366,9,1
good technology,0.07713164012901504,0.009876903806973397,3,2
make,0.0753011080512125,0.05063510816924019,9,1
going tell,0.0750222524965609,0.008335805832951211,1,2
things,0.07475090921366552,0.03880945922302105,9,1
vc firms,0.07425694088488745,0.008907767544870797,2,2
start startup,0.07415218369516605,0.032608051563301904,9,2
work experience,0.07371257882816915,0.008190286536463238,1,2
barbershop,0.072109128164451,0.008012125351605667,1,1
go,0.07154562625708974,0.026662055561971862,7,1
idea,0.07134417567865196,0.04119704760528552,8,1
hard,0.07117285941429326,0.025249171103948972,8,1
know,0.07117285941429326,0.03905434810758911,8,1
cofounder,0.07112639754877763,0.01071915478756599,2,1
employers,0.07074118583828577,0.013459968494839237,4,1
funding,0.0706466314223088,0.02116876666382537,7,1
100,0.06970699367235376,0.011237696870016233,5,1
acquisitions,0.06969596364351471,0.011198339662585611,3,1
undergrads,0.06943599303824313,0.013918418856382505,5,1
years,0.06927440911893475,0.02553492529302418,8,1
customers,0.06915580332061942,0.0158017183086313,6,1
could,0.0690849242099682,0.037752791426943724,9,1
seed firms,0.06907842707259074,0.007675380785843415,1,2
estate,0.06876681984996141,0.008888654797038735,3,1
real estate,0.06876681984996141,0.008888654797038735,3,2
growing,0.06784392791302842,0.012044262828162046,5,1
mid,0.06779177155787311,0.00926183066246767,2,1
people starting,0.06779177155787311,0.00812175986265961,2,2
tech companies,0.06779177155787311,0.00894052992528125,2,2
